year,category,recipient,city,state,province,country,grant_description,award_amt
2000,CONSERVATION AND THE ENVIRONMENT,Trust for Public Land,San Francisco,California,,,For use as general support,2500000
2000,CONSERVATION AND THE ENVIRONMENT,Trust for Public Land,San Francisco,California,,,For use as general support,1750000
2000,CONSERVATION AND THE ENVIRONMENT,Universidad de Costa Rica,San Jose,,,Costa Rica,To support a program of ecological research and training,290000
2000,CONSERVATION AND THE ENVIRONMENT,University of California at Davis,Davis,California,,,To support a program of ecological research and training,310000
2000,CONSERVATION AND THE ENVIRONMENT,University of California at Davis,Davis,California,,,To support a program of ecological research and training,76000
2000,CONSERVATION AND THE ENVIRONMENT,University of California at Riverside,Riverside,California,,,To support studies of the effects of environmental regulations,150000
2000,CONSERVATION AND THE ENVIRONMENT,University of California at Santa Barbara,Santa Barbara,California,,,To support a program of ecological research and training,320000
2000,CONSERVATION AND THE ENVIRONMENT,University of California at Santa Barbara,Santa Barbara,California,,,To support a program of ecological research and training,288000
2000,CONSERVATION AND THE ENVIRONMENT,University of California at Santa Barbara,Santa Barbara,California,,,To support a program of ecological research and training,170000
2000,CONSERVATION AND THE ENVIRONMENT,University of Canterbury,Christchurch,,,New Zealand,To support a program of ecological research and training,320000
2000,CONSERVATION AND THE ENVIRONMENT,"University of Cape Town Fund, Inc.",New York,New York,,,To support a program of ecological research and training,380000
2000,CONSERVATION AND THE ENVIRONMENT,"University of Cape Town Fund, Inc.",New York,New York,,,To support a program of ecological research and training,163000
2000,CONSERVATION AND THE ENVIRONMENT,University of Colorado at Boulder,Boulder,Colorado,,,To support a program of ecological research and training,195000
2000,CONSERVATION AND THE ENVIRONMENT,University of Connecticut,Storrs,Connecticut,,,To support a program of ecological research and training,350000
2000,CONSERVATION AND THE ENVIRONMENT,University of Georgia,Athens,Georgia,,,To support a program of ecological research and training,65000
2000,CONSERVATION AND THE ENVIRONMENT,University of Montana,Missoula,Montana,,,To support a program of ecological research and training,360000
2000,CONSERVATION AND THE ENVIRONMENT,University of Nevada at Las Vegas,Las Vegas,Nevada,,,To support a program of ecological research and training,235000
2000,CONSERVATION AND THE ENVIRONMENT,University of Nevada at Reno,Reno,Nevada,,,To support a program of ecological research and training,90000
2000,CONSERVATION AND THE ENVIRONMENT,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support a program of ecological research and training,415000
2000,CONSERVATION AND THE ENVIRONMENT,University of Puerto Rico,San Juan,Puerto Rico,,,To support a program of ecological research and training,239000
2000,CONSERVATION AND THE ENVIRONMENT,University of the Witwatersrand,Johannesburg,,,South Africa,To support a program of ecological research and training,25000
2000,CONSERVATION AND THE ENVIRONMENT,University of Wisconsin at Madison,Madison,Wisconsin,,,To support a program of ecological research and training,690000
2000,CONSERVATION AND THE ENVIRONMENT,Woods Hole Oceanographic Institution,Woods Hole,Massachusetts,,,To support a program of ecological research and training,220000
2000,CONSERVATION AND THE ENVIRONMENT,Yale University,New Haven,Connecticut,,,To support a summary publication of research projects on basic ecology of the Copper River Delta in Alaska,30000
2000,CONSERVATION AND THE ENVIRONMENT,Yale University,New Haven,Connecticut,,,To support a program of ecological research and training,28000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Art Institute of Chicago,Chicago,Illinois,,,To establish a permanent endowment in support of a Senior Conservation Scientist and to establish and operate a scientific laboratory,2750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Art Institute of Chicago,Chicago,Illinois,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Brooklyn Institute of Arts and Sciences,Brooklyn,New York,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,"Buffalo State College Foundation, Inc.",Buffalo,New York,,,To establish a permanent endowment in support of graduate conservation fellowships and to facilitate curriculum development,2400000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Detroit Institute of Arts Founders Society,Detroit,Michigan,,,To establish a permanent endowment in support of curatorial research and travel and a program for visiting curatorial specialists,750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Foundation of the American Institute for,Washington,DC,,,To endow a program for mid-career training of conservation professionals and to support the position of Program Director,1800000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Foundation of the American Institute for,Washington,DC,,,To support a study tour in France for mid-career wooden artifact conservators,45000
2000,MUSEUMS AND ART CONSERVATION,George Eastman House,Rochester,New York,,,For supplementary equipment to support training in the field of photograph conservation,145250
2000,MUSEUMS AND ART CONSERVATION,George Eastman House,Rochester,New York,,,To support expenses associated with the selection process for the Mellon Advanced Residency Program in Photograph Conservation,14000
2000,MUSEUMS AND ART CONSERVATION,Henry E. Huntington Library & Art Gallery,San Marino,California,,,To establish three postdoctoral Andrew W. Mellon Curatorial Fellowships,390000
2000,MUSEUMS AND ART CONSERVATION,Institute of Fine Arts Foundation,New York,New York,,,To establish a permanent endowment in support of graduate conservation fellowships and to facilitate curriculum development,1800000
2000,MUSEUMS AND ART CONSERVATION,"Isabella Stewart Gardner Museum, Inc.",Boston,Massachusetts,,,To support scholarly exhibitions based on the permanent collection,750000
2000,MUSEUMS AND ART CONSERVATION,"Isabella Stewart Gardner Museum, Inc.",Boston,Massachusetts,,,To support scholarly exhibitions based on the permanent collection,50000
2000,MUSEUMS AND ART CONSERVATION,Kansas University Endowment Association,Lawrence,Kansas,,,To establish a permanent endowment to strengthen the educational role of the museum's collections and programs,475000
2000,MUSEUMS AND ART CONSERVATION,"Museum of Fine Arts, Boston",Boston,Massachusetts,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,Philadelphia,Pennsylvania,,,To establish a permanent endowment in support of one Senior Conservatorship and three post-graduate conservation fellowships and to support publication and presentation projects directly related to conservation,2625000
2000,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,Philadelphia,Pennsylvania,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION,Seattle Art Museum,Seattle,Washington,,,To establish a permanent endowment in support of the Conservation Department and to support the position of Chief Conservator,1750000
2000,MUSEUMS AND ART CONSERVATION,University of Chicago,Chicago,Illinois,,,To establish a permanent endowment to strengthen the educational role of the museum's collections and programs,500000
2000,MUSEUMS AND ART CONSERVATION,University of Delaware,Newark,Delaware,,,To establish a permanent endowment in support of graduate conservation fellowships and to facilitate curriculum development,1300000
2000,MUSEUMS AND ART CONSERVATION,University of Delaware,Newark,Delaware,,,To support additional expenses associated with a collaborative workshop in photograph conservation,25500
2000,PERFORMING ARTS,"Alabama Shakespeare Festival, Inc.",Montgomery,Alabama,,,To support the Southern Writers' Project,250000
2000,PERFORMING ARTS,Alliance of Resident Theatres,New York,New York,,,To expand its revolving loan program for New York nonprofit theaters and to strengthen institutional performance,1000000
2000,PERFORMING ARTS,American Conservatory Theatre Foundation,San Francisco,California,,,To support artistic initiatives,300000
2000,PERFORMING ARTS,"American Music Center, Inc.",New York,New York,,,For use as matching endowment and to support information programs and services to the field,2500000
2000,PERFORMING ARTS,"Ballet Theatre Foundation, Inc.",New York,New York,,,To support design and production costs of The Pied Piper of Hamelin,50000
2000,PERFORMING ARTS,"Baltimore Symphony Orchestra, Inc.",Baltimore,Maryland,,,To strengthen artistic and administrative performance,800000
2000,PERFORMING ARTS,Boston Modern Orchestra Project Inc.,Boston,Massachusetts,,,To strengthen administrative capacity,50000
2000,PERFORMING ARTS,"Boston Symphony Orchestra, Inc.",Boston,Massachusetts,,,To support the Tanglewood Music Center's Interarts Initiative,50000
2000,PERFORMING ARTS,"Brooklyn Philharmonic Symphony Orchestra, Inc.",Brooklyn,New York,,,To support its strategic planning process,50000
2000,PERFORMING ARTS,"Center Stage Associates, Inc.",Baltimore,Maryland,,,To support artistic initiatives and the associate artist program,225000
2000,PERFORMING ARTS,Center Theatre Group of Los Angeles,Los Angeles,California,,,To support new play development and resident artist programs,275000
2000,PERFORMING ARTS,Chicago Symphony Orchestra,Chicago,Illinois,,,To support its Musician Residency Program,600000
2000,PERFORMING ARTS,Conductors' Retreat at Medomak,Ann Arbor,Michigan,,,To support artistic initiatives and strengthen administrative capacity,44000
2000,PERFORMING ARTS,"Connecticut Players Foundation, Inc.",New Haven,Connecticut,,,To support its Playwrights Program,225000
2000,PERFORMING ARTS,"Cornerstone Theater Company, Inc.",Los Angeles,California,,,To support its strategic planning process,10000
2000,PERFORMING ARTS,"Dance Works, Inc.",New York,New York,,,To support the Pentacle Help Desk,15000
2000,PERFORMING ARTS,"Eugene O'Neill Memorial Theater Center, Inc.",New York,New York,,,To support the National Playwrights Conference,50000
2000,PERFORMING ARTS,Grantmakers in the Arts,Seattle,Washington,,,"To support research, publications, and information services",10000
2000,PERFORMING ARTS,Guthrie Theatre Foundation,Minneapolis,Minnesota,,,To support its Company Development Program,250000
2000,PERFORMING ARTS,Intiman Theatre,Seattle,Washington,,,To support artistic initiatives,150000
2000,PERFORMING ARTS,"Jacob's Pillow Dance Festival, Inc.",Lee,Massachusetts,,,To support planning for its media residency program for choreographers,50000
2000,PERFORMING ARTS,Louisiana Philharmonic Orchestra,New Orleans,Louisiana,,,To strengthen artistic and administrative performance,800000
2000,PERFORMING ARTS,Lyric Opera of Chicago,Chicago,Illinois,,,To support productions of American operas,1200000
2000,PERFORMING ARTS,"Marlboro School of Music, Inc.",Philadelphia,Pennsylvania,,,For use as endowment,750000
2000,PERFORMING ARTS,McCarter Theatre Company,Princeton,New Jersey,,,To support new play development,225000
2000,PERFORMING ARTS,Musical Arts Association,Cleveland,Ohio,,,To strengthen artistic and administrative performance,600000
2000,PERFORMING ARTS,National Guild of Community Schools,Englewood,New Jersey,,,To support partnership programs between orchestras and community music schools,50000
2000,PERFORMING ARTS,New Jersey Performing Arts Center Corporation,Newark,New Jersey,,,To support costs of its Community Subsidy Program,40000
2000,PERFORMING ARTS,New Mexico Symphony Orchestra,Albuquerque,New Mexico,,,To strengthen artistic and administrative performance,600000
2000,PERFORMING ARTS,New World Symphony Inc.,Miami Beach,Florida,,,To support musician training and artistic activities,50000
2000,PERFORMING ARTS,"New York Theatre Workshop, Inc.",New York,New York,,,To support artistic initiatives,225000
2000,PERFORMING ARTS,"Opera America, Inc.",Washington,DC,,,For use as matching endowment,2200000
2000,PERFORMING ARTS,Philadelphia Orchestra Association,Philadelphia,Pennsylvania,,,To support its strategic planning process,50000
2000,PERFORMING ARTS,Pittsburgh Symphony Society,Pittsburgh,Pennsylvania,,,To strengthen artistic and administrative performance,200000
2000,PERFORMING ARTS,"Playwright's Horizons, Inc.",New York,New York,,,To support new play development,225000
2000,PERFORMING ARTS,Richmond Symphony,Richmond,Virginia,,,To strengthen artistic and administrative performance,700000
2000,PERFORMING ARTS,Saint Paul Chamber Orchestra Society,Saint Paul,Minnesota,,,To strengthen artistic and administrative performance,200000
2000,PERFORMING ARTS,San Francisco Symphony,San Francisco,California,,,To strengthen artistic and administrative performance,200000
2000,PERFORMING ARTS,Saratoga International Theater Institute Inc.,New York,New York,,,To support costs of set construction for War of the Worlds,45000
2000,PERFORMING ARTS,"Seattle Symphony Orchestra, Inc.",Seattle,Washington,,,To strengthen artistic and administrative performance,700000
2000,PERFORMING ARTS,Shakespeare Theatre,Washington,DC,,,To support artistic initiatives,275000
2000,PERFORMING ARTS,"Spanish Theatre Repertory Company, Ltd.",New York,New York,,,To support artistic initiatives,225000
2000,PERFORMING ARTS,"St. Lukes Chamber Ensemble, Inc.",New York,New York,,,To strengthen artistic and administrative performance,600000
2000,PERFORMING ARTS,Sundance Institute,Salt Lake City,Utah,,,To support the Sundance Theatre Laboratory,450000
2000,PERFORMING ARTS,"Theatre Communications Group, Inc.",New York,New York,,,To establish the New Generations Mentorship Program,2000000
2000,PERFORMING ARTS,Theatre de la Jeune Lune,Minneapolis,Minnesota,,,To support artistic and administrative development,150000
2000,PERFORMING ARTS,Theatre for a New Audience Inc.,New York,New York,,,To support administrative development and the American Directors Project,225000
2000,PERFORMING ARTS,Theatre for a New Audience Inc.,New York,New York,,,To support market research and planning,32000
2000,PERFORMING ARTS,Trinity Repertory Company,Providence,Rhode Island,,,To support new play development and resident artist programs,225000
2000,PERFORMING ARTS,Virginia Polytechnic Institute and State University,Blacksburg,Virginia,,,To support the Orchestra Exchange Program,50000
2000,PERFORMING ARTS,Yale University,New Haven,Connecticut,,,To support Yale Repertory Theatre's Associate Artist Program,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Academia Istropolitana Nova,Sväty Jur,,,Slovakia,"To support a program in public administration, library improvements, and general management",350000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Academy of Political Science,New York,New York,,,To support the design and publication of an electronic version of Political Science Quarterly,102000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Acadia University,Wolfville,,Nova Scotia,Canada,To study the best way to provide new studio classrooms for several science departments and to consider ways to connect them to local schools,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Adelphi University,Garden City,New York,,,To support the formulation of an information technology strategy,32000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Antiquarian Society,Worcester,Massachusetts,,,To support postdoctoral fellowships,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council of Learned Societies,New York,New York,,,To support research leaves for junior faculty members in the humanities,2300000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council of Learned Societies,New York,New York,,,To support core activities and new initiatives,2000000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council of Learned Societies,New York,New York,,,To support a subscription to JSTOR and its introduction to scholarly associations,14000
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,American Council on Education,Washington,DC,,,To support a project to bring a greater international focus to undergraduate education,42600
2000,HIGHER EDUCATION AND SCHOLARSHIP,"American Economic Association, Inc.",Nashville,Tennessee,,,To support research on the evolving role of regional economic associations,6000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Friends of the Institute of,Ithaca,New York,,,To support efforts to increase the level of private sector support for the Institute of Historical Research,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Fund of the University,Chicago,Illinois,,,To support graduate fellowships for students from disadvantaged backgrounds and to prepare them for academic careers,900000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Philosophical Society,Philadelphia,Pennsylvania,,,To support sabbatical fellowships for faculty members in the humanities and social sciences,1475000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Political Science Association,Washington,DC,,,"To support a planning study, conducted in partnership with the Harvard University Library, to determine the feasibility and costs of establishing an online scholarly portal for the Association",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Pontifical Institute,Plymouth,Michigan,,,To endow a faculty chair in manuscript studies,840000
2000,HIGHER EDUCATION AND SCHOLARSHIP,American Society of International Law,Washington,DC,,,To support the development of discipline-based portal services,680000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.",Paris,,,France,To implement a new curriculum,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To support a postdoctoral fellowship program,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To strengthen the relationship between the academic and residential programs,105000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To support faculty career enhancement,91000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,Amherst,Massachusetts,,,To design a business plan for the journal Hopscotch: A Cultural Review,15000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,Berea,Kentucky,,,To foster presidential collaborative projects among member colleges,3000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,Berea,Kentucky,,,To support a study of graduates of colleges in Central Appalachia,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,Berea,Kentucky,,,To support digitization of selected archival materials at seven Appalachian colleges,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Associated Colleges of Central Kansas,McPherson,Kansas,,,To support an enrollment management project,45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.",Chicago,Illinois,,,To support programs in information literacy and collaborative collections management,645000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.",Chicago,Illinois,,,To promote cooperation and collaboration among liberal arts colleges,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the South, Inc.",Atlanta,Georgia,,,To promote cooperation and collaboration among liberal arts colleges,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the South, Inc.",Atlanta,Georgia,,,"To support centers for educational technology in the Northeast, South, and Midwest",146500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association for Core Texts and Courses,Philadelphia,Pennsylvania,,,To permit a group of American scholars to consult on the development of core humanities programs in several universities in Central Asia,15000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association of Vermont Independent Colleges,Shelburne,Vermont,,,To support a collaborative venture in environmental science and technology,45400
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association pour le Rayonnement,Paris,,,France,To support the planning and organizing of the digitization of Dunhuang materials as part of the Mellon International Dunhuang Archive,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Association pour le Rayonnement,Paris,,,France,To support the digitization and documentation of objects and photographs to be included in the Mellon International Dunhuang Archive,420000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Austin College,Sherman,Texas,,,To support faculty career enhancement and institutional planning on the use of instructional technology,25000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bard College,Annandale-on-Hudson,New York,,,"To support an interdisciplinary program in human rights, sponsored by Southern African universities and United States liberal arts colleges",320000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To endow a postdoctoral fellowship program,1500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To support faculty career enhancement,650000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,New York,New York,,,To strengthen the relationship between the academic and residential programs,122000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bates College,Lewiston,Maine,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bennington College,Bennington,Vermont,,,To support a new distance learning component for the college's language center,40000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bethune-Cookman College,Daytona Beach,Florida,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,Brunswick,Maine,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,Brunswick,Maine,,,To support existing environmental studies programs,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,Brunswick,Maine,,,To strengthen the relationship between the academic and residential programs,90000
2000,HIGHER EDUCATION AND SCHOLARSHIP,British Library,London,,,United Kingdom,"To support the digitization of manuscripts, texts, and related materials from the Library's Stein Collection",7100
2000,HIGHER EDUCATION AND SCHOLARSHIP,British Library,London,,,United Kingdom,To support the digitization and documentation of manuscripts and printed scrolls for the Mellon International Dunhuang Archive,1100000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brookings Institution,Washington,DC,,,To support postdoctoral fellowships,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brooklyn College,Brooklyn,New York,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,Providence,Rhode Island,,,To support postdoctoral fellowships at the John Carter Brown Library,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,Providence,Rhode Island,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,Providence,Rhode Island,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,Bryn Mawr,Pennsylvania,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,Bryn Mawr,Pennsylvania,,,To strengthen the relationship between the academic and residential programs,92000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,Bryn Mawr,Pennsylvania,,,"To support planning for the future of graduate programs in the history of art, classics, and classical and Near Eastern archeology",50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Burlington Magazine Foundation, Inc.",New York,New York,,,To sustain and enhance the quality and accessibility of the magazine,641000
2000,HIGHER EDUCATION AND SCHOLARSHIP,California Institute of Technology,Pasadena,California,,,To support the renewal of an undergraduate fellowship program,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,Northfield,Minnesota,,,To support faculty career enhancement,600000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,Northfield,Minnesota,,,To support the renewal of an undergraduate fellowship program,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,Northfield,Minnesota,,,To support existing environmental studies programs,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carnegie Mellon University,Pittsburgh,Pennsylvania,,,To support the establishment of a Center for the Arts in Society,800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Carnegie Mellon University,Pittsburgh,Pennsylvania,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,550000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Case Western Reserve University,Cleveland,Ohio,,,"To support new ""Mellon Seminars: Issues in Interpretation""",48000
2000,HIGHER EDUCATION AND SCHOLARSHIP,CERGE-EI Foundation,Teaneck,New Jersey,,,For use as endowment,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,China Cultural Property Promotion Association,Beijing,,,China,To hire a translator for the training program that is part of the cooperative project between the Dunhuang Research Academy and the Foundation,43400
2000,HIGHER EDUCATION AND SCHOLARSHIP,China Cultural Property Promotion Association,Beijing,,,China,To support development of a training program in China as part of the cooperative project between the Dunhuang Research Academy and the Foundation,5000
2000,HIGHER EDUCATION AND SCHOLARSHIP,"Citizens' Scholarship Foundation of America, Inc.",St. Peter,Minnesota,,,To support a planning initiative with six selective liberal arts colleges to prepare low-income and minority students for higher education,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,City University of New York,New York,New York,,,"To support new ""Mellon Seminars: Issues in Interpretation""",45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Claremont McKenna College,Claremont,California,,,To support a strategic planning process,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,College of William and Mary,Williamsburg,Virginia,,,To support existing environmental studies programs,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,College of Wooster,Wooster,Ohio,,,To support a new curriculum,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,To support postdoctoral fellowships in the humanities,1700000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,To support the improvement of foreign language instruction and its greater cost-effectiveness,1200000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,"To support the construction and implementation of reliable measures of the uses, costs, and benefits of electronic publishing initiatives",530000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,To support Sawyer Seminars on the historical and cultural sources of contemporary developments,210000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,New York,New York,,,To assist the winners of the Gutenberg-e dissertation award in transforming their manuscripts into electronic publications,43000
